participant,session_time,mem_nom,cond_1st,tree_behaviour,resource_distribution,trial,trial_number,bg_name,bg_type,loop,sample,t_absolute,secs_elapsed,sample_interval,flag,fruits,row,col,x,y
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,38,38,787.1010115079779,3.6006704678612778,0.016040028667248407,0,3,,,-77.20001220703125,-234.0
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,39,39,787.1180259788702,3.6176849387535412,0.01701447089226349,0,3,,,-74.0,-237.5999755859375
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,40,40,787.1349973432301,3.634656303113502,0.016971364359960717,0,3,,,-73.20001220703125,-241.0999755859375
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,41,41,787.151029454371,3.6506884142544322,0.016032111140930283,0,3,,,-71.20001220703125,-243.5
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,42,42,787.1680110821909,3.667670042074292,0.016981627819859568,0,3,,,-70.0999755859375,-237.4000244140625
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,43,43,787.184008884051,3.6836678439343586,0.01599780186006683,0,3,,,-71.70001220703125,-241.0999755859375
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,44,44,787.2009799551691,3.7006389150525365,0.01697107111817786,0,3,,,-74.29998779296875,-242.29998779296875
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,45,45,787.2179847490848,3.7176437089682395,0.017004793915702976,1,3,8.0,9.0,10.5,-297.70001220703125
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,46,46,787.4511391854213,3.9507981453047023,0.23315443633646282,2,4,8.0,6.0,-226.70001220703125,-300.29998779296875
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,47,47,787.6852536951388,4.184912655022231,0.23411450971752856,2,5,9.0,4.0,-389.4000244140625,-383.79998779296875
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,48,48,787.9182333594123,4.4178923192956745,0.23297966427344363,0,5,,,-555.2999877929688,-316.20001220703125
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,49,49,787.9349768749581,4.434635834841515,0.016743515545840637,0,5,,,-542.1000061035156,-321.5
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,50,50,787.951025700877,4.45068466076043,0.0160488259189151,0,5,,,-550.7000122070312,-323.79998779296875
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,51,51,787.968008208422,4.467667168305411,0.016982507544980763,0,5,,,-547.8999938964844,-320.79998779296875
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,52,52,787.9849839714078,4.484642931291205,0.016975762985794063,0,5,,,-550.7000122070312,-317.9000244140625
